region,IMV_per1000,IMVnum
Ханты-Мансийский АОк,56.8,1082
Самарская область,42.6,954
Амурская область,42.5,336
г. Москва,40,5540
Кировская область,39.6,500
Архангельская область,38.4,419
Республика Саха,37.2,361
Сахалинская область,37.1,181
Томская область,37.1,400
г. Санкт-Петербург,35.2,2348
Липецкая область,35.1,400
Свердловская область,35,1101
Чувашская Республика,34.7,422
Алтайский край,34.6,802
Республика Крым,34.3,656
Республика Карелия,32.5,200
Ярославская область,31.5,395
Владимирская область,31.4,426
Тамбовская область,31.2,771
Пензенская область,30.7,400
Мурманская область,30.5,226
Псковская область,30.3,190
Республика Татарстан,28.2,1571
Оренбургская область,27.7,542
Кемеровская область,27.3,726
Рязанская область,27.1,300
Иркутская область,26.5,633
Республика Башкортостан,25.5,751
Республика Бурятия,24.9,246
Красноярский край,24.6,795
Челябинская область,24.5,780
Астраханская область,23.9,240
Забайкальский край,22.8,242
Саратовская область,22.1,536
Вологодская область,22.1,257
Курская область,21.9,242
Орловская область,21.8,160
Республика Марий Эл,20.9,124
Новосибирская область,20.4,982
Тульская область,20.3,297
Удмуртская Республика,20.2,303
Пермский край,20,734
Костромская область,19.1,121
Калининградская область,18.8,190
Омская область,18.7,361
Ивановская область,17.9,178
Краснодарский край,17.6,1000
Белгородская область,16.8,260
Ростовская область,15.3,724
Воронежская область,15,348
Ленинградская область,14.3,268
Тверская область,9.4,118
Калужская область,4.8,48
Брянская область,,
Московская область,,2270
Смоленская область,,
Нижегородская область,,
Республика Мордовия,,
Республика Коми,,
Хабаровский край,,
Ставропольский край,,2264
