"region","region_tr","population.total","over80.perc","hospitalized.total","hospitalized.perc","critical.total","critical.perc","lethality.total","lethality.perc","critical.per.IMV"
"Республика Адыгея","Respublika Adygeya",454744,3.84897876607498,14885,3.27,4163,0.92,2474,0.54,41.6
"Алтайский край","Altayskiy kray",2332813,3.64289808055768,78827,3.38,21672,0.93,12871,0.55,35.9
"Амурская область","Amurskaya oblastʹ",793194,2.42475359117694,24061,3.03,6044,0.76,3586,0.45,24.4
"Архангельская область","Arkhangelʹskaya oblastʹ",1100290,3.51016550182225,37292,3.39,10108,0.92,6003,0.55,16.1
"Астраханская область","Astrakhanskaya oblastʹ",1014065,3.57541183257483,32045,3.16,8694,0.86,5164,0.51,47
"Республика Башкортостан","Respublika Bashkortostan",4051005,3.58656679021626,128295,3.17,34343,0.85,20400,0.5,45.7
"Белгородская область","Belgorodskaya oblastʹ",1547418,3.96079146035525,54045,3.49,15018,0.97,8922,0.58,49.7
"Брянская область","Bryanskaya oblastʹ",1200187,4.37506821853594,42313,3.53,11968,1,7112,0.59,65
"Республика Бурятия","Respublika Buryatiya",983273,2.45994754254414,27081,2.75,6685,0.68,3966,0.4,38.9
"Чеченская республика","Chechenskaya respublika",1456951,0.960773560675685,26386,1.81,5027,0.35,2976,0.2,31.4
"Челябинская область","Chelyabinskaya oblastʹ",3475753,3.65270489588875,114075,3.28,31375,0.9,18637,0.54,40.2
"Чукотский АОк","Chukot·skiy AOk",49663,0.289954291927592,1237,2.49,210,0.42,124,0.25,17.5
"Чувашская Республика","Chuvashskaya Respublika",1223395,3.74613268813425,40313,3.3,10949,0.89,6506,0.53,28.2
"г. Санкт-Петербург","g. Sankt-Peterburg",5383890,4.63293269364716,187347,3.48,53908,1,32036,0.6,23
"Республика Дагестан","Respublika Dagestan",3086126,1.91725807695473,71012,2.3,15708,0.51,9318,0.3,83.6
"Республика Алтай","Respublika Altay",218866,1.93862911553188,5653,2.58,1312,0.6,778,0.36,7.8
"Республика Ингушетия","Respublika Ingushetiya",497393,1.52716262593161,10588,2.13,2246,0.45,1332,0.27,46.8
"Иркутская область","Irkut·skaya oblastʹ",2397763,2.8548693094355,71855,3,18643,0.78,11067,0.46,29.7
"Ивановская область","Ivanovskaya oblastʹ",1004180,4.55207233762871,36038,3.59,10405,1.04,6184,0.62,43.2
"Кабардино-Балкарская Республика","Kabardino-Balkarskaya Respublika",866219,2.79698321094319,24857,2.87,6261,0.72,3718,0.43,48.9
"Калининградская область","Kaliningradskaya oblastʹ",1002187,3.30966176970965,32933,3.29,8770,0.88,5207,0.52,27.7
"Республика Калмыкия","Respublika Kalmykiya",272647,2.66278374601591,8157,2.99,2002,0.73,1188,0.44,33.4
"Калужская область","Kaluzhskaya oblastʹ",1009380,4.19891418494521,35706,3.54,10080,1,5989,0.59,91.6
"Камчатский край","Kamchat·skiy kray",314723,1.53722479767923,9322,2.96,2115,0.67,1254,0.4,21.1
"Карачаево-Черкессия Республика","Karachayevo-Cherkessiya Respublika",465563,3.39545883156522,14112,3.03,3707,0.8,2202,0.47,30.9
"Республика Карелия","Respublika Kareliya",618056,3.73170068731636,21124,3.42,5771,0.93,3428,0.55,33.2
"Кемеровская область","Kemerovskaya oblastʹ",2674256,3.40419914922132,87026,3.25,23383,0.87,13883,0.52,40.5
"Хабаровский край","Khabarovskiy kray",1321473,2.59710187041279,40605,3.07,10420,0.79,6185,0.47,34.4
"Республика Хакасия","Respublika Khakasiya",536167,2.72788142500378,16285,3.04,4148,0.77,2461,0.46,21.6
"Ханты-Мансийский АОк","Khanty-Mansiyskiy AOk",1663795,0.892417635586115,42238,2.54,7967,0.48,4709,0.28,7.4
"Кировская область","Kirovskaya oblastʹ",1272109,4.20011178287395,45278,3.56,12772,1,7588,0.6,33.7
"Республика Коми","Respublika Komi",830235,2.43376875222076,25573,3.08,6185,0.74,3669,0.44,22.7
"Костромская область","Kostromskaya oblastʹ",637267,4.03472955605735,22271,3.49,6221,0.98,3696,0.58,31
"Краснодарский край","Krasnodarskiy kray",5648235,3.79146760005559,188801,3.34,52555,0.93,31230,0.55,52.6
"Красноярский край","Krasnoyarskiy kray",2874026,2.82478307433544,88135,3.07,22492,0.78,13347,0.46,28.3
"Курганская область","Kurganskaya oblastʹ",834701,4.2237879192669,29505,3.53,8475,1.02,5037,0.6,105.9
"Курская область","Kurskaya oblastʹ",1107041,4.23959004228389,39600,3.58,11210,1.01,6662,0.6,29.3
"Ленинградская область","Leningradskaya oblastʹ",1847867,4.09233997901364,64709,3.5,17989,0.97,10684,0.58,111
"Липецкая область","Lipetskaya oblastʹ",1144035,4.194539502725,40863,3.57,11544,1.01,6861,0.6,34.3
"Магаданская область","Magadanskaya oblastʹ",141234,1.27872891796593,4259,3.02,927,0.66,549,0.39,15.4
"Республика Марий Эл","Respublika Mariy El",680380,3.19777183338722,22137,3.25,5826,0.86,3459,0.51,19.4
"Республика Мордовия","Respublika Mordoviya",795504,3.95598262233754,28267,3.55,7777,0.98,4620,0.58,62.7
"г. Москва","g. Moskva",12615279,4.70903576528113,451339,3.58,129495,1.03,76975,0.61,20.2
"Московская область","Moskovskaya oblastʹ",7599647,3.52246624086619,249380,3.28,66789,0.88,39659,0.52,29.4
"Мурманская область","Murmanskaya oblastʹ",748056,2.27162137593977,22840,3.05,5462,0.73,3239,0.43,16.7
"Ненецкий АОк","Nenetskiy AOk",43829,1.73629332177326,1177,2.69,262,0.6,155,0.35,10.9
"Нижегородская область","Nizhegorodskaya oblastʹ",3214623,4.29997545590883,112590,3.5,31989,1,19007,0.59,47.5
"Республика Северная Осетия-Алания","Respublika Severnaya Osetiya-Alaniya",699253,4.0753489795539,21665,3.1,6138,0.88,3650,0.52,34.1
"Новгородская область","Novgorodskaya oblastʹ",600296,4.50810933272919,21664,3.61,6277,1.05,3731,0.62,52.3
"Новосибирская область","Novosibirskaya oblastʹ",2793384,3.51806267953135,90299,3.23,24392,0.87,14483,0.52,24.8
"Омская область","Omskaya oblastʹ",1944195,3.41627254467787,62897,3.24,16796,0.86,9974,0.51,46.9
"Орловская область","Orlovskaya oblastʹ",739467,4.32717078652597,26674,3.61,7622,1.03,4530,0.61,22.3
"Оренбургская область","Orenburgskaya oblastʹ",1963007,3.49433292902165,63821,3.25,17245,0.88,10245,0.52,42.7
"Пензенская область","Penzenskaya oblastʹ",1318103,4.29367052498932,48320,3.67,13871,1.05,8245,0.63,47.2
"Пермский край","Permskiy kray",2610800,3.28604259230887,83392,3.19,22286,0.85,13234,0.51,30.4
"Приморский край","Primorskiy kray",1902718,2.74759580768143,61707,3.24,16118,0.85,9572,0.5,43.1
"Псковская область","Pskovskaya oblastʹ",629651,4.51599378068168,22834,3.63,6612,1.05,3930,0.62,46.9
"Ростовская область","Rostovskaya oblastʹ",4202320,4.07372594186069,144782,3.45,40819,0.97,24257,0.58,56.4
"Рязанская область","Ryazanskaya oblastʹ",1114137,4.91707931789358,41310,3.71,12262,1.1,7291,0.65,60.4
"Республика Саха","Respublika Sakha",967009,1.43855951702621,24479,2.53,5281,0.55,3129,0.32,20.3
"Сахалинская область","Sakhalinskaya oblastʹ",489638,2.06029760762032,15119,3.09,3653,0.75,2166,0.44,12.1
"Самарская область","Samarskaya oblastʹ",3183038,3.72106773466104,109674,3.45,30387,0.95,18054,0.57,31.9
"Саратовская область","Saratovskaya oblastʹ",2440815,4.05639100054695,85798,3.52,24328,1,14462,0.59,49.6
"Смоленская область","Smolenskaya oblastʹ",942363,4.08091149588853,33577,3.56,9334,0.99,5544,0.59,86.4
"Ставропольский край","Stavropolʹskiy kray",2795243,3.67120139465513,89602,3.21,24581,0.88,14605,0.52,10.9
