region	gender	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80 и старше	85 и старше	sum
Республика Адыгея	all	4737	5164	5830	5992	6054	5928	5935	5949	5964	5938	6060	5745	5058	5166	5107	5059	4810	4487	4287	4107	4452	4334	4970	5048	5389	5504	6210	6642	7144	7336	7337	7562	7644	7347	7310	7084	6640	6357	6841	6452	6250	6097	5918	6269	6047	5831	6011	5745	5924	5326	5466	5369	5361	5712	5692	5956	6580	6746	7277	6479	6378	6149	5885	5693	5772	5131	5163	5049	4978	4653	3921	3699	3152	1822	1339	1600	2067	3053	3415	3286	17503	6291	454744
Республика Адыгея	man	2454	2615	3077	3092	3172	3094	3058	3074	3067	3017	3153	2963	2601	2749	2613	2659	2456	2301	2167	2120	2248	2161	2603	2572	2764	2879	3182	3189	3587	3723	3694	3628	3856	3646	3661	3495	3361	3127	3331	3183	3059	2857	2824	3011	2899	2807	2858	2776	2852	2535	2526	2484	2536	2673	2588	2750	2934	2998	3200	2826	2883	2701	2483	2354	2402	2065	2108	2050	1954	1786	1483	1395	1201	659	464	529	692	934	1024	939	5008	1709	212499
Республика Адыгея	woman	2283	2549	2753	2900	2882	2834	2877	2875	2897	2921	2907	2782	2457	2417	2494	2400	2354	2186	2120	1987	2204	2173	2367	2476	2625	2625	3028	3453	3557	3613	3643	3934	3788	3701	3649	3589	3279	3230	3510	3269	3191	3240	3094	3258	3148	3024	3153	2969	3072	2791	2940	2885	2825	3039	3104	3206	3646	3748	4077	3653	3495	3448	3402	3339	3370	3066	3055	2999	3024	2867	2438	2304	1951	1163	875	1071	1375	2119	2391	2347	12495	4582	242245
Республика Калмыкия	all	3029	3026	3383	3710	3810	3972	4093	3952	4300	4285	4245	3977	3521	3503	3484	3415	3095	2850	2561	2494	2523	2711	2812	3035	3501	3107	3411	3809	4296	4481	4489	4933	4765	4667	4563	4442	4315	3886	4061	3712	3534	3458	3355	3316	3235	3074	3079	2947	3157	3173	3257	3462	3583	3973	4340	4476	4491	4791	4656	4471	4238	4079	3946	3761	3725	3112	3014	2723	2450	2296	1543	1301	1061	567	382	580	859	1056	1312	1330	7260	2646	272647
Республика Калмыкия	man	1569	1561	1804	1958	1936	2035	2104	1997	2175	2254	2194	2130	1795	1801	1795	1734	1584	1462	1289	1211	1189	1321	1344	1470	1800	1563	1730	2011	2272	2364	2390	2451	2459	2405	2300	2312	2204	1977	2051	1820	1743	1699	1670	1621	1580	1515	1487	1418	1520	1487	1631	1684	1659	1932	2039	2138	2141	2278	2129	1990	1936	1872	1766	1645	1575	1309	1233	1112	952	925	568	465	370	181	128	187	258	312	402	404	2146	739	130928
Республика Калмыкия	woman	1460	1465	1579	1752	1874	1937	1989	1955	2125	2031	2051	1847	1726	1702	1689	1681	1511	1388	1272	1283	1334	1390	1468	1565	1701	1544	1681	1798	2024	2117	2099	2482	2306	2262	2263	2130	2111	1909	2010	1892	1791	1759	1685	1695	1655	1559	1592	1529	1637	1686	1626	1778	1924	2041	2301	2338	2350	2513	2527	2481	2302	2207	2180	2116	2150	1803	1781	1611	1498	1371	975	836	691	386	254	393	601	744	910	926	5114	1907	141719
Республика Крым	all	20266	20780	22826	23934	23625	23814	24740	23098	23377	23372	23195	21792	20094	17927	18396	17324	16293	15576	15537	15034	15350	15975	17278	18390	20299	20378	22073	24429	26863	28675	30867	32908	33249	32099	32616	32620	29894	28732	29056	27845	27712	26729	27303	26013	25880	24660	25220	24193	24198	23469	23103	22851	23352	23658	25658	26460	27991	28896	29987	28829	28524	28091	27783	26653	27457	24890	25262	23489	23387	23947	18427	17023	14884	8960	9343	7801	10831	14201	14285	14924	74898	26436	1911818
Республика Крым	man	10356	10668	11765	12302	12149	12118	12765	11988	12073	12001	11858	11089	10229	9210	9498	8799	8488	7898	8027	7646	7927	8125	8786	9574	10564	10492	11172	12382	13607	14438	15567	16560	16679	16269	16329	16271	14874	14510	14625	13907	13714	13109	13389	12623	12467	11875	11944	11437	11459	11139	10855	10543	10622	10846	11630	11829	12467	12764	13118	12306	12223	11776	11453	10756	10919	9913	9926	9103	8948	8762	6770	6121	5159	3036	3071	2579	3264	4468	4274	4395	19769	6321	880406
Республика Крым	woman	9910	10112	11061	11632	11476	11696	11975	11110	11304	11371	11337	10703	9865	8717	8898	8525	7805	7678	7510	7388	7423	7850	8492	8816	9735	9886	10901	12047	13256	14237	15300	16348	16570	15830	16287	16349	15020	14222	14431	13938	13998	13620	13914	13390	13413	12785	13276	12756	12739	12330	12248	12308	12730	12812	14028	14631	15524	16132	16869	16523	16301	16315	16330	15897	16538	14977	15336	14386	14439	15185	11657	10902	9725	5924	6272	5222	7567	9733	10011	10529	55129	20115	1031412
Краснодарский край	all	64236	67231	73405	75492	75789	73540	73326	68846	63354	65022	65898	62682	58645	59103	59338	58909	56105	52380	52546	47339	48654	48193	52916	58751	60673	62975	70982	76366	87685	86333	90454	94890	96509	96596	93640	95058	90415	85514	95055	85162	83617	79875	81187	83307	79627	77065	77666	74085	78759	67383	67041	65609	66330	70031	69686	74155	78327	82143	90793	81101	77981	73999	73722	72878	74284	68145	68030	62984	65870	63219	51891	49372	41543	24591	18355	20431	25946	37529	43048	42472	214151	74236	5648235
Краснодарский край	man	33357	34526	37722	38785	38965	37745	38056	35403	32614	33261	34107	32310	30044	29779	30512	30501	28767	26791	26452	23997	24513	24100	26729	29946	30363	31747	35725	38161	43819	42646	44329	46673	47265	46792	45604	46181	43610	41689	46301	41145	40361	38171	38972	39696	38149	36573	36766	35415	38033	31808	31766	30679	30766	31822	31781	33532	35125	36829	40774	35408	34091	32109	31203	29995	30771	27914	27463	24994	26407	24614	20097	18894	15297	9039	6398	7031	8385	11777	13484	12715	61799	20360	2617935
Краснодарский край	woman	30879	32705	35683	36707	36824	35795	35270	33443	30740	31761	31791	30372	28601	29324	28826	28408	27338	25589	26094	23342	24141	24093	26187	28805	30310	31228	35257	38205	43866	43687	46125	48217	49244	49804	48036	48877	46805	43825	48754	44017	43256	41704	42215	43611	41478	40492	40900	38670	40726	35575	35275	34930	35564	38209	37905	40623	43202	45314	50019	45693	43890	41890	42519	42883	43513	40231	40567	37990	39463	38605	31794	30478	26246	15552	11957	13400	17561	25752	29564	29757	152352	53876	3030300
Астраханская область	all	11723	12166	14052	14553	14798	14725	14978	13990	13226	13477	13567	12361	11137	10910	11156	10884	10420	9561	9810	9869	9904	10017	10193	11181	11651	11793	13517	14734	16305	16750	17278	17801	17641	17106	16834	16831	15556	15173	15451	14457	14839	14060	14211	13980	13399	13065	12809	12693	12548	11565	11418	11477	12147	12457	13128	13772	14223	14375	15392	14362	14275	13500	13095	13088	12725	11744	11593	10924	9946	10545	8224	7239	6553	3962	2779	2676	3888	5560	5951	6085	36257	15265	1014065
Астраханская область	man	6103	6311	7304	7379	7595	7715	7876	7228	6735	6843	6956	6407	5656	5600	5786	5563	5308	4892	5045	5324	5133	5169	5356	5890	5953	6186	7224	7525	8219	8563	8692	9063	9089	8653	8375	8474	7820	7664	7691	7185	7387	6792	6891	6654	6498	6320	6292	6003	6147	5580	5459	5448	5786	5774	6102	6461	6523	6514	7007	6376	6250	5801	5546	5329	5178	4671	4602	4257	3852	3994	3118	2623	2370	1366	890	870	1173	1679	1796	1748	9643	3954	478320
Астраханская область	woman	5620	5855	6748	7174	7203	7010	7102	6762	6491	6634	6611	5954	5481	5310	5370	5321	5112	4669	4765	4545	4771	4848	4837	5291	5698	5607	6293	7209	8086	8187	8586	8738	8552	8453	8459	8357	7736	7509	7760	7272	7452	7268	7320	7326	6901	6745	6517	6690	6401	5985	5959	6029	6361	6683	7026	7311	7700	7861	8385	7986	8025	7699	7549	7759	7547	7073	6991	6667	6094	6551	5106	4616	4183	2596	1889	1806	2715	3881	4155	4337	26614	11311	535745
Волгоградская область	all	23476	24917	28062	28765	28886	28748	29342	27903	27717	28450	28729	27541	25476	25312	24616	24473	23976	22560	23500	21730	22311	21761	23202	25262	27053	29356	32823	35864	40987	40014	41041	42164	42587	42133	40578	41520	37915	36342	39994	36202	36179	35652	35494	36382	34594	33818	34461	32564	34555	30580	30321	29869	31241	33291	32974	35249	35850	37380	40375	37181	35620	35478	34197	33392	34108	31700	31231	29621	29528	29549	24680	21960	19781	11454	8160	8922	12585	18143	19033	19232	107837	40656	2507509
Волгоградская область	man	12104	12810	14322	14906	14738	14699	15056	14338	14353	14688	14801	13989	12998	12922	12723	12677	12388	11598	11977	11156	11336	10968	11778	12853	13906	14903	16519	18368	20846	20395	20745	21604	21588	21147	20770	21256	19116	18149	20157	17856	17758	17324	17325	17664	16635	16289	16467	15468	16712	14773	14375	13877	14599	15728	15347	16105	16301	16925	18207	16301	15387	15216	14408	13571	13698	12722	12040	11373	11464	11097	9169	8007	6958	3967	2691	2893	4007	5672	5713	5608	28562	10017	1161906
Волгоградская область	woman	11372	12107	13740	13859	14148	14049	14286	13565	13364	13762	13928	13552	12478	12390	11893	11796	11588	10962	11523	10574	10975	10793	11424	12409	13147	14453	16304	17496	20141	19619	20296	20560	20999	20986	19808	20264	18799	18193	19837	18346	18421	18328	18169	18718	17959	17529	17994	17096	17843	15807	15946	15992	16642	17563	17627	19144	19549	20455	22168	20880	20233	20262	19789	19821	20410	18978	19191	18248	18064	18452	15511	13953	12823	7487	5469	6029	8578	12471	13320	13624	79275	30639	1345603
